AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
6,Nautan,AMIT KUMAR,Indian National Congress,79880,-22072,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,SANTOSH CHAUDHARI,Jan Suraaj Party,12082,-89870,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,VIRENDRA RAO,Bahujan Samaj Party,2714,-99238,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,BIPIN BIHARI PANDEY,Independent,1990,-99962,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,SIKANDAR RAM,Independent,1943,-100009,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,CHITRANJAN KUMAR PATEL,Independent,1533,-100419,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,SANJAY PRASAD ALIAS SANJAY KUMAR SINGH,Apni Janta Party,822,-101130,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,AJEET KUMAR SAH,Janshakti Janta Dal,782,-101170,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,MOHAMMAD ALI,Independent,645,-101307,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,JAI PRAKASH,Nationalist Congress Party,270,-101682,lost,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
6,Nautan,NOTA,None of the Above,3220,-98732,,207833,PASCHIM  CHAMPARAN,GENERAL,1893875
7,Chanpatia,ABHISHEK RANJAN,Indian National Congress,87538,602,won,218455,PASCHIM  CHAMPARAN,GENERAL,1893875
7,Chanpatia,UMAKANT SINGH,Bharatiya Janata Party,86936,-602,lost,218455,PASCHIM  CHAMPARAN,GENERAL,1893875
7,Chanpatia,TRIPURARI KUMAR TIWARI ALIAS MANISH KASHYAP,Jan Suraaj Party,37172,-50366,lost,218455,PASCHIM  CHAMPARAN,GENERAL,1893875
7,Chanpatia,BIPIN TIWARI ALIAS BIPIN NATH TIWARI,Loktantrik Jan Swaraj Party,2108,-85430,lost,218455,PASCHIM  CHAMPARAN,GENERAL,1893875
7,Chanpatia,MOHAMMAD SOAIB,Independent,2092,-85446,lost,218455,PASCHIM  CHAMPARAN,GENERAL,1893875
7,Chanpatia,NOTA,None of the Above,2609,-84929,,218455,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,RENU DEVI,Bharatiya Janata Party,91907,22373,won,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,WASHI AHMAD,Indian National Congress,69534,-22373,lost,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,ROHIT KUMAR SIKARIA,Independent,24665,-67242,lost,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,ANIL KUMAR SINGH,Jan Suraaj Party,6297,-85610,lost,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,SATISH KUMAR,Sudharwadi Party,1300,-90607,lost,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,CHHATHU SHARMA,Jagrook Janta Party,780,-91127,lost,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
8,Bettiah,NOTA,None of the Above,1981,-89926,,196464,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,SAMMRIDH VARMA,Janata Dal (United),97173,47144,won,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,KHURSHID FIROZ AHMAD,Independent,50029,-47144,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,BIRENDRA PRASAD GUPTA,Communist Party of India (Marxist-Leninist) (Liberation),37431,-59742,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,UTKARSH SRIVASTAVA,Jan Suraaj Party,8181,-88992,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,AURANGJEB,Aam Aadmi Party,2512,-94661,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,LALGURAD MIYAN,Independent,2427,-94746,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,MD. FAKHRUDDIN,Rashtriya Jansambhavna Party,2225,-94948,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,SANTOSH RAM,Bahujan Samaj Party,1964,-95209,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
9,Sikta,PRAMOD SAH,Independent,1793,-95380,lost,210762,PASCHIM  CHAMPARAN,GENERAL,1893875
