AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
60,Rupauli,SHANKAR RAM,Independent,3115,-121711,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,AMOD KUMAR,Jan Suraaj Party,3048,-121778,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,VIKASH KUMAR MANDAL,Aam Aadmi Party,1310,-123516,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,NEELAM DEVI,Independent,1251,-123575,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,JAINENDRA KUMAR,Bahujan Samaj Party,1105,-123721,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,AWADH KISHOR SHARMA,Rashtriya Samaj Paksha,607,-124219,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,NITYA MANDAL,Independent,575,-124251,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,PRAMOD KUMAR MANDAL,Republican Party of India (A),546,-124280,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,MD. GULJAR,Independent,475,-124351,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,MOHAMMAD NAFIS MANSURI,The National Road Map Party of India,427,-124399,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,ASHOK MANDAL,Independent,355,-124471,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,RAJEEV KUMAR,Rashtriya Jansambhavna Party,353,-124473,lost,225095,PURNIA,GENERAL,1606072
60,Rupauli,NOTA,None of the Above,5862,-118964,,225095,PURNIA,GENERAL,1606072
61,Dhamdaha,LESHI SINGH,Janata Dal (United),138750,55159,won,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,SANTOSH KUMAR,Rashtriya Janata Dal,83591,-55159,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,MOHD ISHTIYAQUE ALAM,All India Majlis-E-Ittehadul Muslimeen,5126,-133624,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,VINDESHWARI SHARMA,Independent,3032,-135718,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,RAKESH KUMAR,Jan Suraaj Party,1804,-136946,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,RAMAN KUMAR,Independent,922,-137828,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,CHAND LAL URANV,Independent,581,-138169,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,PRADIP YADAV,Independent,447,-138303,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,BHAGWAN MAREYA,Rashtriya Jansambhavna Party,417,-138333,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,KUMARI KUMKUM RANI,Independent,365,-138385,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,MANOJ SHARMA,Jagrook Janta Party,249,-138501,lost,242065,PURNIA,GENERAL,1606072
61,Dhamdaha,NOTA,None of the Above,6781,-131969,,242065,PURNIA,GENERAL,1606072
62,Purnia,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,127614,33222,won,232919,PURNIA,GENERAL,1606072
62,Purnia,JITENDRA KUMAR,Indian National Congress,94392,-33222,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,SANTOSH KUMAR SINGH,Jan Suraaj Party,3701,-123913,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,LAKHENDAR SAH,Independent,1225,-126389,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,RAJIV KUMAR ROY,Bahujan Samaj Party,1128,-126486,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,ASLAM AZAD,Independent,1017,-126597,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,ADITYA LAL,Aam Aadmi Party,980,-126634,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,KANEEZ FATMA,Independent,919,-126695,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,AJAY SWARN,Independent,507,-127107,lost,232919,PURNIA,GENERAL,1606072
62,Purnia,NOTA,None of the Above,1436,-126178,,232919,PURNIA,GENERAL,1606072
63,Katihar,TARKISHORE PRASAD,Bharatiya Janata Party,100255,22154,won,198448,KATIHAR,GENERAL,1410108
63,Katihar,SAURAV KUMAR AGARWAL,Vikassheel Insaan Party,78101,-22154,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,DR. RAM PRAKASH MAHTO,Independent,7411,-92844,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,MANISHA KUMARI,Peoples Party of India (Democratic),3253,-97002,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,DR. GHAZI SHARIQUE,Jan Suraaj Party,2853,-97402,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,AHMAD RAZA,All India Majlis-E-Inquilab-E-Millat,1205,-99050,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,RAJESH GURNANI,Aam Aadmi Party,1072,-99183,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,JANARDAN SINGH,Independent,656,-99599,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,JHANTU URAON,Bharat Jago Janta Party,550,-99705,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,Sanjay Singh @ Bhai Sanjiv,Independent,504,-99751,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,SAMIR KUMAR JHA,Independent,410,-99845,lost,198448,KATIHAR,GENERAL,1410108
63,Katihar,NOTA,None of the Above,2178,-98077,,198448,KATIHAR,GENERAL,1410108
64,Kadwa,DULAL CHANDRA GOSWAMI,Janata Dal (United),99274,18368,won,213155,KATIHAR,GENERAL,1410108
64,Kadwa,SHAKEEL AHMAD KHAN,Indian National Congress,80906,-18368,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,MD SHAKIR REZA,All India Majlis-E-Ittehadul Muslimeen,11557,-87717,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,HIMRAJ SINGH,Independent,5615,-93659,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,SADIQ HUSSAIN,Independent,2967,-96307,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,MD. SHAHARYAR,Jan Suraaj Party,1169,-98105,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,VIDYANAND MANDAL,Bahujan Samaj Party,1114,-98160,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,ANMOL KUMAR,Voters Party International,984,-98290,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,SURESH YADAV,Independent,963,-98311,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,RAJEEV RANJAN,Independent,891,-98383,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,SAJAN KUMAR,Independent,877,-98397,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,ASHA SUMAN,Independent,874,-98400,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,MD. SHAMIUDDIN,Minorities Democratic Party,822,-98452,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,MOHAMMAD RAZAUL HAQUE,Independent,604,-98670,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,PRAMOD DAS,Independent,381,-98893,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,SUNIL KUMAR MANDAL,Peoples Party of India (Democratic),339,-98935,lost,213155,KATIHAR,GENERAL,1410108
64,Kadwa,NOTA,None of the Above,3818,-95456,,213155,KATIHAR,GENERAL,1410108
65,Balrampur,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),80459,389,won,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MOHAMMAD ADIL HASAN,All India Majlis-E-Ittehadul Muslimeen,80070,-389,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MAHBOOB ALAM,Communist Party of India (Marxist-Leninist) (Liberation),79141,-1318,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MD MOAZZAM HUSSAIN,Independent,9195,-71264,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,BARUN KUMAR JHA,Independent,5372,-75087,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MD ZINNAH,Independent,3446,-77013,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,ASHAB ALAM,Jan Suraaj Party,2614,-77845,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,ROSHAN AGRAWAL,Independent,2282,-78177,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MD NASRUL HAQUE,Independent,2080,-78379,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,HAJI SHAFIQUL HAQUE PRADHAN,Independent,1648,-78811,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,SHAKIR ALAM,Independent,1442,-79017,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,PRIYA KUMARI ROY,Bahujan Samaj Party,1438,-79021,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MD AFTAB ALAM RUKNAVI,Independent,1016,-79443,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MD SHAHID SHAIKH,The Plurals Party,885,-79574,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,SUJIT PASWAN,Independent,844,-79615,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,TANWEER SHAMSI,Independent,775,-79684,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,AJAD KHA,Independent,645,-79814,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,MD KAMALUDDIN,Independent,537,-79922,lost,277074,KATIHAR,GENERAL,1410108
65,Balrampur,NOTA,None of the Above,3185,-77274,,277074,KATIHAR,GENERAL,1410108
66,Pranpur,NISHA SINGH,Bharatiya Janata Party,108565,7752,won,254532,KATIHAR,GENERAL,1410108
66,Pranpur,ISHRAT PARWEEN,Rashtriya Janata Dal,100813,-7752,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,MD AFTAB ALAM,All India Majlis-E-Ittehadul Muslimeen,30163,-78402,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,KUNAL  NISHAD,Jan Suraaj Party,2467,-106098,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,SUBHASHCHANDRA SAH,Independent,2048,-106517,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,PREM KUMAR MANDAL,Bahujan Samaj Party,1265,-107300,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,MANOJ MURMU,Independent,1263,-107302,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,SATYA NARAYAN MANDAL,Independent,1263,-107302,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,SANJAY KUMAR,Independent,976,-107589,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,SUBHASH KUMAR YADAV,Sampoorna Bharat Kranti Party,943,-107622,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,MOHAMMAD MUSHA,Independent,640,-107925,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,ABDUS SALAM,Independent,520,-108045,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,MD NAIYAR ALAM,Independent,293,-108272,lost,254532,KATIHAR,GENERAL,1410108
66,Pranpur,NOTA,None of the Above,3313,-105252,,254532,KATIHAR,GENERAL,1410108
67,Manihari,MANOHAR PRASAD SINGH,Indian National Congress,114754,15168,won,238259,,,
67,Manihari,SHAMBHU KUMAR SUMAN,Janata Dal (United),99586,-15168,lost,238259,,,
67,Manihari,BABLU SOREN,Jan Suraaj Party,7647,-107107,lost,238259,,,
67,Manihari,SAIF ALI KHAN,Nationalist Congress Party,4865,-109889,lost,238259,,,
67,Manihari,RAM RATAN PRASAD,Rashtriya Lok Janshakti Party,3761,-110993,lost,238259,,,
67,Manihari,NALINEE MANDAL,Aam Aadmi Party,2738,-112016,lost,238259,,,
67,Manihari,UPENDRA MANDAL,Bahujan Samaj Party,1967,-112787,lost,238259,,,
67,Manihari,NOTA,None of the Above,2941,-111813,,238259,,,
68,Barari,BIJAY SINGH,Janata Dal (United),107842,10984,won,228594,KATIHAR,GENERAL,1410108
68,Barari,TAUQUIR ALAM,Indian National Congress,96858,-10984,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,MD MATIUR RAHMAN,All India Majlis-E-Ittehadul Muslimeen,5846,-101996,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,SHIVPUJAN PASWAN,Independent,4962,-102880,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,PRITAM PRASOON,Jan Suraaj Party,3026,-104816,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,SATYA NARAYAN AGRAWAL,Independent,1577,-106265,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,RAJ KISHOR YADAV,Independent,1453,-106389,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,DWARIKA MANDAL,Bahujan Samaj Party,1271,-106571,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,MD NASIM,Independent,744,-107098,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,MD MOJAHID ALAM,Independent,546,-107296,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,NIRANJAN KUMAR JHA,Independent,420,-107422,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,MD MAHBOOB,Bharat Jago Janta Party,378,-107464,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,ARUN KUMAR JAISWAL,Independent,369,-107473,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,RATAN KUMAR,Vikas Vanchit Insan Party,255,-107587,lost,228594,KATIHAR,GENERAL,1410108
68,Barari,NOTA,None of the Above,3047,-104795,,228594,KATIHAR,GENERAL,1410108
69,Korha,KAVITA DEVI,Bharatiya Janata Party,123495,22257,won,238305,KATIHAR,SC,1410108
69,Korha,PUNAM KUMARI,Indian National Congress,101238,-22257,lost,238305,KATIHAR,SC,1410108
69,Korha,NIRMAL KUMAR RAJ,Jan Suraaj Party,4028,-119467,lost,238305,KATIHAR,SC,1410108
69,Korha,RAVINDRA KUMAR,Bahujan Samaj Party,1469,-122026,lost,238305,KATIHAR,SC,1410108
69,Korha,KAPILDEV PASWAN,Independent,1405,-122090,lost,238305,KATIHAR,SC,1410108
69,Korha,VINOD KUMAR MIRDHA,Independent,1346,-122149,lost,238305,KATIHAR,SC,1410108
69,Korha,WAKIL DAS,Independent,1248,-122247,lost,238305,KATIHAR,SC,1410108
69,Korha,TUFANI DAS,Peoples Party of India (Democratic),914,-122581,lost,238305,KATIHAR,SC,1410108
69,Korha,NOTA,None of the Above,3162,-120333,,238305,KATIHAR,SC,1410108
70,Alamnagar,NARENDRA NARAYAN YADAV,Janata Dal (United),138401,55465,won,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,NABIN KUMAR,Vikassheel Insaan Party,82936,-55465,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,SUBODH KUMAR SUMAN,Jan Suraaj Party,8934,-129467,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,RUBI KUMARI,Independent,4695,-133706,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,VIKRAM KUMAR GUPTA,Independent,3178,-135223,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,BINOD ASHISH,Independent,2707,-135694,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,AKHATAR MANSURI,The National Road Map Party of India,2576,-135825,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,CHANO RISHIDEV,Independent,2161,-136240,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,MOHAN SHARMA,Rashtriya Jansambhavna Party,1791,-136610,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,AMAR KUMAR SINGH,Independent,1043,-137358,lost,256381,MADHEPURA,GENERAL,948891
70,Alamnagar,NOTA,None of the Above,7959,-130442,,256381,MADHEPURA,GENERAL,948891
71,Bihariganj,NIRANJAN KUMAR MEHTA,Janata Dal (United),116622,31622,won,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,RENU KUMARI,Rashtriya Janata Dal,85000,-31622,lost,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,KARN KUMAR MISHRA,Independent,5372,-111250,lost,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,AMLESH ROY,Jan Suraaj Party,4486,-112136,lost,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,PANKAJ KUMAR JAISWAL,Socialist Unity Centre Of India (COMMUNIST),2493,-114129,lost,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,RABINDRA KUMAR,Bahujan Samaj Party,2199,-114423,lost,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,MOHAMMAD SAJAM,Independent,1659,-114963,lost,223746,MADHEPURA,GENERAL,948891
71,Bihariganj,NOTA,None of the Above,5915,-110707,,223746,MADHEPURA,GENERAL,948891
72,Singheshwar,RAMESH RISHI,Janata Dal (United),106416,2982,won,229174,MADHEPURA,SC,948891
72,Singheshwar,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,103434,-2982,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,VIRENDRA KUMAR SHARMA,Independent,3978,-102438,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,PRAMOD KUMAR RAM,Jan Suraaj Party,3516,-102900,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,SUBHASH KUMAR,Bahujan Samaj Party,1924,-104492,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,MANJU DEVI,Independent,1909,-104507,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,BAMBAM KUMAR,Independent,1184,-105232,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,BABLU RISHIDEV,Independent,918,-105498,lost,229174,MADHEPURA,SC,948891
72,Singheshwar,NOTA,None of the Above,5895,-100521,,229174,MADHEPURA,SC,948891
73,Madhepura,CHANDRA SHEKHAR,Rashtriya Janata Dal,108464,7809,won,239590,MADHEPURA,GENERAL,948891
73,Madhepura,KAVITA KUMARI SAHA,Janata Dal (United),100655,-7809,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,PRANAV PRAKASH,Independent,7894,-100570,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,SHASHI KUMAR,Jan Suraaj Party,4634,-103830,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,MUKESH KUMAR,Aam Aadmi Party,3652,-104812,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,SANJAY KUMAR,Independent,2819,-105645,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,SURENDRA YADAV,"Proutist Bloc, India",1751,-106713,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,SANJAY YADAV,Janshakti Janta Dal,1278,-107186,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,MOHAMMAD ASIF ALAM,The National Road Map Party of India,889,-107575,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,LALAN KUMAR RAM,Bahujan Samaj Party,781,-107683,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,PRADEEP KUMAR,Jagrook Janta Party,497,-107967,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,KAMESHWAR YADAV,Aadarsh Mithila Party,448,-108016,lost,239590,MADHEPURA,GENERAL,948891
73,Madhepura,NOTA,None of the Above,5828,-102636,,239590,MADHEPURA,GENERAL,948891
74,Sonbarsha,RATNESH SADA,Janata Dal (United),97833,13454,won,206444,SAHARSA,SC,902898
74,Sonbarsha,SARITA DEVI,Indian National Congress,84379,-13454,lost,206444,SAHARSA,SC,902898
74,Sonbarsha,SATYENDRA KUMAR,Jan Suraaj Party,5655,-92178,lost,206444,SAHARSA,SC,902898
74,Sonbarsha,KIRAN DEVI,Bahujan Samaj Party,5019,-92814,lost,206444,SAHARSA,SC,902898
74,Sonbarsha,RAJESH RAM,Independent,4038,-93795,lost,206444,SAHARSA,SC,902898
74,Sonbarsha,PARMOD SADA,Independent,3998,-93835,lost,206444,SAHARSA,SC,902898
74,Sonbarsha,NOTA,None of the Above,5522,-92311,,206444,SAHARSA,SC,902898
75,Saharsa,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,115036,2038,won,259763,SAHARSA,GENERAL,902898
75,Saharsa,ALOK RANJAN,Bharatiya Janata Party,112998,-2038,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,KISHOR KUMAR,Jan Suraaj Party,12786,-102250,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,DEVCHANDRA YADAV,Independent,4353,-110683,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,AMAR SHANKAR,Swadhinta Party,2964,-112072,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,MD AMIRUL HASAN,Rashtriya Jansambhavna Party,2304,-112732,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,AJABLAL MEHTA,Bahujan Samaj Party,2236,-112800,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,RAMESH SAH,Independent,2055,-112981,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,MOHAMMAD NAZIR,Independent,1567,-113469,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,BITTU KUMAR,Rashtriya Samaj Paksha,857,-114179,lost,259763,SAHARSA,GENERAL,902898
75,Saharsa,NOTA,None of the Above,2607,-112429,,259763,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),109699,7930,won,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,YUSUF SALAHUDDIN,Rashtriya Janata Dal,101769,-7930,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,VIKASH RAJ,Independent,7493,-102206,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,SURENDRA KUMAR YADAV,Jan Suraaj Party,2270,-107429,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,RAJKUMAR SADA,Independent,1436,-108263,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,SUNITA DEVI,Bahujan Samaj Party,1387,-108312,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,BARUN KUMAR YADAV,Independent,1081,-108618,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,YOGBIR ROY,Independent,695,-109004,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,YAPURA WADAT,Independent,565,-109134,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,DOMI SHARMA,Independent,536,-109163,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,PINTU KUMAR SHARMA,Jagrook Janta Party,531,-109168,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,PANKAJ KUMAR,Independent,420,-109279,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,AWDHESH KUMAR,Independent,333,-109366,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,ANAND RANJAN,Independent,258,-109441,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,BIBHUTI SINGH,Rashtrawadi Janlok Party (Satya),256,-109443,lost,233725,SAHARSA,GENERAL,902898
76,Simri Bakhtiarpur,NOTA,None of the Above,4996,-104703,,233725,SAHARSA,GENERAL,902898
77,Mahishi,GAUTAM KRISHNA,Rashtriya Janata Dal,93752,3740,won,202966,SAHARSA,GENERAL,902898
77,Mahishi,GUNJESHWAR SAH,Janata Dal (United),90012,-3740,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,SURAJ SAMRAT,Independent,3142,-90610,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,SHAMIM AKHTAR,Jan Suraaj Party,2571,-91181,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,PRIYANKA ANAND,Bahujan Samaj Party,1207,-92545,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,SUSHIL KUMAR RAJAK,Independent,1201,-92551,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,VIJAY KUMAR GUPTA,Aam Aadmi Party,847,-92905,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,RANJIT SADA,Independent,758,-92994,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,ARVIND KUMAR,Independent,653,-93099,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,RAJA KUMAR,Independent,567,-93185,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,RAHUL PASWAN,Independent,519,-93233,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,MAHARUDRA JHA,Independent,398,-93354,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,DEVNARAYAN YADAV,Janshakti Janta Dal,338,-93414,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,TIRO SHARMA,Independent,330,-93422,lost,202966,SAHARSA,GENERAL,902898
77,Mahishi,NOTA,None of the Above,6671,-87081,,202966,SAHARSA,GENERAL,902898
78,Kusheshwar Asthan,ATIREK KUMAR,Janata Dal (United),85685,36441,won,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,GANESH BHARTI,Independent,49244,-36441,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,SHATRUDHAN PASWAN,Jan Suraaj Party,6488,-79197,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,SATYA NARAYAN PASWAN,Mazdoor Ekta Party,5127,-80558,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,YOGI CHAUPAL,Aam Aadmi Party,3464,-82221,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,SACHIDANAND PASWAN,Independent,2171,-83514,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,SHREEMATI ANJU DEVI,Independent,2142,-83543,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,GANGA PASWAN,Independent,1206,-84479,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,JEEBACHH KUMAR HAJARI,Independent,1201,-84484,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,DUKHI RAM RASIYA,Aam Janta Pragati Party,797,-84888,lost,163976,DARBHANGA,SC,1847817
78,Kusheshwar Asthan,NOTA,None of the Above,6451,-79234,,163976,DARBHANGA,SC,1847817
79,Gaura Bauram,SUJIT KUMAR,Bharatiya Janata Party,77682,5669,won,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,AFZAL ALI KHAN,Rashtriya Janata Dal,72013,-5669,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,SHYAM SUNDAR CHOUDHARY,Independent,6549,-71133,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,AKHTAR SHAHANSHA,All India Majlis-E-Ittehadul Muslimeen,3243,-74439,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,DR MD IFTEKHAR ALAM,Jan Suraaj Party,2506,-75176,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,BACHELAL JHA,Independent,716,-76966,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,PANKAJ KUMAR SAHU,Independent,437,-77245,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,SANTOSH SAHANI,Vikassheel Insaan Party,393,-77289,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,NAND KISHORE SHARMA,Independent,350,-77332,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,279,-77403,lost,168223,DARBHANGA,GENERAL,1847817
79,Gaura Bauram,KRISHAN KUMAR,Independent,209,-77473,lost,168223,DARBHANGA,GENERAL,1847817
