AC_NO,AC_NAME,DISTRICT
188,Phulwari (SC),PATNA
189,Masaurhi (SC),PATNA
190,Paliganj,PATNA
191,Bikram,PATNA
192,Sandesh,BHOJPUR
193,Barhara,BHOJPUR
194,Arrah,BHOJPUR
195,Agiaon (SC),BHOJPUR
196,Tarari,BHOJPUR
197,Jagdishpur,BHOJPUR
198,Shahpur,BHOJPUR
199,Brahampur,BUXAR
200,Buxar,BUXAR
201,Dumraon,BUXAR
202,Rajpur (SC),BUXAR
203,Ramgarh,KAIMUR  (BHABHUA)
204,Mohania (SC),KAIMUR  (BHABHUA)
205,Bhabua,KAIMUR  (BHABHUA)
206,Chainpur,KAIMUR  (BHABHUA)
207,Chenari (SC),ROHTAS
208,Sasaram,ROHTAS
209,Kargahar,ROHTAS
210,Dinara,ROHTAS
211,Nokha,ROHTAS
212,Dehri,ROHTAS
213,Karakat,ROHTAS
214,Arwal,ARWAL
215,Kurtha,ARWAL
216,Jehanabad,JAHANABAD
217,Ghosi,JAHANABAD
218,Makhdumpur (SC),JAHANABAD
219,Goh,AURANGABAD
220,Obra,AURANGABAD
221,Nabinagar,AURANGABAD
222,Kutumba (SC),AURANGABAD
223,Aurangabad,AURANGABAD
224,Rafiganj,AURANGABAD
225,Gurua,GAYA
226,Sherghati,GAYA
227,Imamganj (SC),GAYA
228,Barachatti (SC),GAYA
229,Bodh Gaya (SC),GAYA
230,Gaya Town,GAYA
231,Tikari,GAYA
232,Belaganj,GAYA
233,Atri,GAYA
234,Wazirganj,GAYA
235,Rajauli (SC),NAWADA
236,Hisua,NAWADA
237,Nawada,NAWADA
238,Gobindpur,NAWADA
239,Warsaliganj,NAWADA
240,Sikandra (SC),JAMUI
241,Jamui,JAMUI
242,Jhajha,JAMUI
243,Chakai,JAMUI
