AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District,Margin_Bucket,<500,0.5-2K,2_10K,10_25K,25_50K,50K_plus,Multi_Cornered_Count
162,Katoria,PURAN LAL TUDU,Bharatiya Janata Party,94260,10986,won,196105,,,,10-25K,0,0,0,1,0,0,2
163,Belhar,MANOJ YADAV,Janata Dal (United),115393,37206,won,227772,BANKA,GENERAL,614830.0,25-50K,0,0,0,0,1,0,2
164,Tarapur,SAMRAT CHOUDHARY,Bharatiya Janata Party,122480,45843,won,215758,MUNGER,GENERAL,628487.0,25-50K,0,0,0,0,1,0,2
165,Munger,KUMAR PRANAY,Bharatiya Janata Party,108028,18750,won,211307,MUNGER,GENERAL,628487.0,10-25K,0,0,0,1,0,0,2
166,Jamalpur,NACHIKETA,Janata Dal (United),96683,36228,won,201422,MUNGER,GENERAL,628487.0,25-50K,0,0,0,0,1,0,2
167,Suryagarha,RAMANAND MANDAL,Janata Dal (United),101968,23861,won,238507,LAKHISARAI,GENERAL,487327.0,10-25K,0,0,0,1,0,0,3
168,Lakhisarai,VIJAY KUMAR SINHA,Bharatiya Janata Party,122408,24940,won,248820,LAKHISARAI,GENERAL,487327.0,10-25K,0,0,0,1,0,0,2
169,Sheikhpura,RANDHIR KUMAR SONI,Janata Dal (United),82922,22547,won,163341,SHEIKHPURA,GENERAL,307755.0,10-25K,0,0,0,1,0,0,2
170,Barbigha,DR. KUMAR PUSPANJAY,Janata Dal (United),61882,25493,won,144414,SHEIKHPURA,GENERAL,307755.0,25-50K,0,0,0,0,1,0,3
171,Asthawan,JITENDRA KUMAR,Janata Dal (United),90542,40708,won,173699,NALANDA,GENERAL,1347681.0,25-50K,0,0,0,0,1,0,2
172,Biharsharif,DR. SUNIL KUMAR,Bharatiya Janata Party,109304,29168,won,215019,NALANDA,GENERAL,1347681.0,25-50K,0,0,0,0,1,0,2
173,Rajgir,KAUSHAL KISHORE,Janata Dal (United),107811,55428,won,186290,NALANDA,SC,1347681.0,>50K,0,0,0,0,0,1,2
174,Islampur,RUHAIL RANJAN,Janata Dal (United),100487,32239,won,187664,NALANDA,GENERAL,1347681.0,25-50K,0,0,0,0,1,0,2
175,Hilsa,KRISHNA MURARI SHARAN,Janata Dal (United),96009,16012,won,193058,NALANDA,GENERAL,1347681.0,10-25K,0,0,0,1,0,0,2
176,Nalanda,SHRAWON KUMAR,Janata Dal (United),105432,33008,won,199789,NALANDA,GENERAL,1347681.0,25-50K,0,0,0,0,1,0,2
177,Harnaut,HARI NARAYAN SINGH,Janata Dal (United),106954,48335,won,192162,NALANDA,GENERAL,1347681.0,25-50K,0,0,0,0,1,0,2
178,Mokama,ANANT KUMAR SINGH,Janata Dal (United),91416,28206,won,184921,PATNA,GENERAL,2857201.0,25-50K,0,0,0,0,1,0,3
179,Barh,SIYARAM SINGH,Bharatiya Janata Party,99446,24813,won,189390,PATNA,GENERAL,2857201.0,10-25K,0,0,0,1,0,0,2
180,Bakhtiarpur,ARUN KUMAR S/O SATRUGHAN SAO,Lok Janshakti Party (Ram Vilas),88520,981,won,196100,PATNA,GENERAL,2857201.0,0.5-2K,0,1,0,0,0,0,2
181,Digha,SANJIV CHAURASIA,Bharatiya Janata Party,111001,59079,won,196142,PATNA,GENERAL,2857201.0,>50K,0,0,0,0,0,1,3
182,Bankipur,NITIN NABIN,Bharatiya Janata Party,98299,51936,won,156885,PATNA,GENERAL,2857201.0,>50K,0,0,0,0,0,1,2
183,Kumhrar,SANJAY KUMAR,Bharatiya Janata Party,100485,47524,won,173506,PATNA,GENERAL,2857201.0,25-50K,0,0,0,0,1,0,2
184,Patna Sahib,RATNESH KUMAR,Bharatiya Janata Party,130366,38900,won,235152,PATNA,GENERAL,2857201.0,25-50K,0,0,0,0,1,0,2
185,Fatuha,DR. RAMANAND YADAV,Rashtriya Janata Dal,90558,7992,won,198180,PATNA,GENERAL,2857201.0,2-10K,0,0,1,0,0,0,2
186,Danapur,RAM KRIPAL YADAV,Bharatiya Janata Party,119877,29133,won,220307,PATNA,GENERAL,2857201.0,25-50K,0,0,0,0,1,0,2
187,Maner,BHAI BIRENDRA,Rashtriya Janata Dal,110798,20034,won,226143,PATNA,GENERAL,2857201.0,10-25K,0,0,0,1,0,0,2
188,Phulwari,SHYAM RAJAK,Janata Dal (United),126470,32657,won,257134,PATNA,SC,2857201.0,25-50K,0,0,0,0,1,0,2
189,Masaurhi,ARUN MANJHI,Janata Dal (United),106505,7643,won,225819,PATNA,SC,2857201.0,2-10K,0,0,1,0,0,0,2
190,Paliganj,SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),81105,6655,won,182320,PATNA,GENERAL,2857201.0,2-10K,0,0,1,0,0,0,2
191,Bikram,SIDDHARTH SAURAV,Bharatiya Janata Party,101189,5601,won,215202,PATNA,GENERAL,2857201.0,2-10K,0,0,1,0,0,0,2
192,Sandesh,RADHA CHARAN SAH,Janata Dal (United),80598,27,won,183230,BHOJPUR,GENERAL,1265684.0,<500,1,0,0,0,0,0,2
193,Barhara,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,79593,14403,won,182096,BHOJPUR,GENERAL,1265684.0,10-25K,0,0,0,1,0,0,2
194,Arrah,SANJAY SINGH (TIGER),Bharatiya Janata Party,94201,19581,won,184778,BHOJPUR,GENERAL,1265684.0,10-25K,0,0,0,1,0,0,2
195,Agiaon,MAHESH PASWAN,Bharatiya Janata Party,69412,95,won,153554,BHOJPUR,SC,1265684.0,<500,1,0,0,0,0,0,2
196,Tarari,VISHAL PRASHANT,Bharatiya Janata Party,96887,11464,won,195382,BHOJPUR,GENERAL,1265684.0,10-25K,0,0,0,1,0,0,2
197,Jagdishpur,SRIBHAGWAN SINGH KUSHWAHA,Janata Dal (United),92974,18193,won,188244,BHOJPUR,GENERAL,1265684.0,10-25K,0,0,0,1,0,0,2
198,Shahpur,RAKESH RANJAN,Bharatiya Janata Party,88655,15225,won,178400,BHOJPUR,GENERAL,1265684.0,10-25K,0,0,0,1,0,0,2
199,Brahampur,SHAMBHU NATH YADAV,Rashtriya Janata Dal,95828,3220,won,206393,BUXAR,GENERAL,803043.0,2-10K,0,0,1,0,0,0,2
200,Buxar,ANAND MISHRA,Bharatiya Janata Party,84901,28353,won,188618,BUXAR,GENERAL,803043.0,25-50K,0,0,0,0,1,0,3
201,Dumraon,RAHUL KUMAR SINGH,Janata Dal (United),79411,2105,won,196707,BUXAR,GENERAL,803043.0,2-10K,0,0,1,0,0,0,2
202,Rajpur,SANTOSH KUMAR NIRALA,Janata Dal (United),80701,9136,won,211325,BUXAR,SC,803043.0,2-10K,0,0,1,0,0,0,2
203,Ramgarh,SATISH KUMAR SINGH YADAV,Bahujan Samaj Party,72689,30,won,194844,KAIMUR  (BHABHUA),GENERAL,807697.0,<500,1,0,0,0,0,0,3
204,Mohania,SANGITA KUMARI,Bharatiya Janata Party,76290,18752,won,190815,KAIMUR  (BHABHUA),SC,807697.0,10-25K,0,0,0,1,0,0,3
205,Bhabua,BHARAT BIND,Bharatiya Janata Party,80039,24415,won,192958,KAIMUR  (BHABHUA),GENERAL,807697.0,10-25K,0,0,0,1,0,0,3
206,Chainpur,MD. ZAMA KHAN,Janata Dal (United),70876,8362,won,229080,KAIMUR  (BHABHUA),GENERAL,807697.0,2-10K,0,0,1,0,0,0,3
207,Chenari,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),95579,21988,won,205793,ROHTAS,SC,1405134.0,10-25K,0,0,0,1,0,0,2
208,Sasaram,SNEHLATA,Rashtriya Lok Morcha,105006,25443,won,221091,ROHTAS,GENERAL,1405134.0,25-50K,0,0,0,0,1,0,2
209,Kargahar,BASHISTH SINGH,Janata Dal (United),92485,35676,won,219564,ROHTAS,GENERAL,1405134.0,25-50K,0,0,0,0,1,0,3
210,Dinara,ALOK KUMAR SINGH,Rashtriya Lok Morcha,78338,10834,won,187064,ROHTAS,GENERAL,1405134.0,10-25K,0,0,0,1,0,0,2
211,Nokha,NAGENDRA CHANDRAVANSHI,Janata Dal (United),93193,24054,won,182315,ROHTAS,GENERAL,1405134.0,10-25K,0,0,0,1,0,0,2
212,Dehri,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),104022,35968,won,191592,ROHTAS,GENERAL,1405134.0,25-50K,0,0,0,0,1,0,2
213,Karakat,ARUN SINGH (VILL-AJNAP TOLA),Communist Party of India (Marxist-Leninist) (Liberation),74157,2836,won,197715,ROHTAS,GENERAL,1405134.0,2-10K,0,0,1,0,0,0,3
214,Arwal,MANOJ KUMAR,Bharatiya Janata Party,79854,14093,won,171135,ARWAL,GENERAL,337002.0,10-25K,0,0,0,1,0,0,2
215,Kurtha,PAPPU KUMAR VERMA,Janata Dal (United),74466,5481,won,165867,ARWAL,GENERAL,337002.0,2-10K,0,0,1,0,0,0,2
216,Jehanabad,RAHUL KUMAR,Rashtriya Janata Dal,86402,793,won,193541,JAHANABAD,GENERAL,531532.0,0.5-2K,0,1,0,0,0,0,2
217,Ghosi,RITURAJ KUMAR,Janata Dal (United),80740,11929,won,171592,JAHANABAD,GENERAL,531532.0,10-25K,0,0,0,1,0,0,2
218,Makhdumpur,SUBEDAR DAS,Rashtriya Janata Dal,74769,1830,won,166399,JAHANABAD,SC,531532.0,0.5-2K,0,1,0,0,0,0,2
219,Goh,AMRENDRA KUMAR,Rashtriya Janata Dal,93624,4041,won,211669,AURANGABAD,GENERAL,1205034.0,2-10K,0,0,1,0,0,0,2
220,Obra,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),91638,12013,won,204422,AURANGABAD,GENERAL,1205034.0,10-25K,0,0,0,1,0,0,2
221,Nabinagar,CHETAN ANAND,Janata Dal (United),80380,112,won,190066,AURANGABAD,GENERAL,1205034.0,<500,1,0,0,0,0,0,2
222,Kutumba,LALAN RAM,Hindustani Awam Morcha (Secular),84727,21525,won,173644,AURANGABAD,SC,1205034.0,10-25K,0,0,0,1,0,0,2
223,Aurangabad,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,87200,6794,won,200994,AURANGABAD,GENERAL,1205034.0,2-10K,0,0,1,0,0,0,2
224,Rafiganj,PRAMOD KUMAR SINGH,Janata Dal (United),107515,11956,won,224239,AURANGABAD,GENERAL,1205034.0,10-25K,0,0,0,1,0,0,2
225,Gurua,UPENDRA PRASAD,Bharatiya Janata Party,99758,24194,won,203508,GAYA,GENERAL,2064596.0,10-25K,0,0,0,1,0,0,2
226,Sherghati,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),77270,13524,won,202640,GAYA,GENERAL,2064596.0,10-25K,0,0,0,1,0,0,2
227,Imamganj,DEEPA KUMARI,Hindustani Awam Morcha (Secular),104861,25856,won,206281,GAYA,SC,2064596.0,25-50K,0,0,0,0,1,0,2
228,Barachatti,JYOTI DEVI,Hindustani Awam Morcha (Secular),108271,8893,won,228235,GAYA,SC,2064596.0,2-10K,0,0,1,0,0,0,2
229,Bodh Gaya,KUMAR SARVJEET,Rashtriya Janata Dal,100236,881,won,231073,GAYA,SC,2064596.0,0.5-2K,0,1,0,0,0,0,2
230,Gaya Town,PREM KUMAR,Bharatiya Janata Party,90878,26423,won,166958,GAYA,GENERAL,2064596.0,25-50K,0,0,0,0,1,0,2
231,Tikari,AJAY KUMAR,Rashtriya Janata Dal,97550,2058,won,213025,GAYA,GENERAL,2064596.0,2-10K,0,0,1,0,0,0,2
232,Belaganj,MANORMA DEVI,Janata Dal (United),95685,2882,won,205019,GAYA,GENERAL,2064596.0,2-10K,0,0,1,0,0,0,2
233,Atri,ROMIT KUMAR,Hindustani Awam Morcha (Secular),102102,25777,won,197645,GAYA,GENERAL,2064596.0,25-50K,0,0,0,0,1,0,2
234,Wazirganj,BIRENDRA SINGH,Bharatiya Janata Party,94574,12733,won,210212,GAYA,GENERAL,2064596.0,10-25K,0,0,0,1,0,0,2
235,Rajauli,VIMAL RAJBANSHI,Lok Janshakti Party (Ram Vilas),90272,3953,won,200701,NAWADA,SC,999854.0,2-10K,0,0,1,0,0,0,2
236,Hisua,ANIL SINGH,Bharatiya Janata Party,95885,27849,won,215945,NAWADA,GENERAL,999854.0,25-50K,0,0,0,0,1,0,3
237,Nawada,VIBHA DEVI,Janata Dal (United),87423,27594,won,201494,NAWADA,GENERAL,999854.0,25-50K,0,0,0,0,1,0,2
238,Gobindpur,BINITA MEHTA,Lok Janshakti Party (Ram Vilas),72581,22906,won,180900,NAWADA,GENERAL,999854.0,10-25K,0,0,0,1,0,0,3
239,Warsaliganj,ANITA,Rashtriya Janata Dal,97833,7543,won,200814,NAWADA,GENERAL,999854.0,2-10K,0,0,1,0,0,0,2
240,Sikandra,PRAPHULL KUMAR MANJHI,Hindustani Awam Morcha (Secular),91603,23907,won,194223,JAMUI,SC,888199.0,10-25K,0,0,0,1,0,0,2
241,Jamui,SHREYASI SINGH,Bharatiya Janata Party,123868,54498,won,217247,JAMUI,GENERAL,888199.0,>50K,0,0,0,0,0,1,2
242,Jhajha,DAMODAR RAWAT,Janata Dal (United),108317,4262,won,243866,JAMUI,GENERAL,888199.0,2-10K,0,0,1,0,0,0,2
243,Chakai,SAVITRI DEVI,Rashtriya Janata Dal,80357,12972,won,232863,JAMUI,GENERAL,888199.0,10-25K,0,0,0,1,0,0,3
