AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District,Margin_Bucket,<500,0.5-2K,2_10K,10_25K,25_50K,50K_plus,Multi_Cornered_Count
36,Madhubani,MADHAW ANAND,Rashtriya Lok Morcha,97956,20552,won,211208,MADHUBANI,GENERAL,2008343.0,10-25K,0,0,0,1,0,0,2
37,Rajnagar,SUJEET KUMAR,Bharatiya Janata Party,108362,42185,won,190800,MADHUBANI,SC,2008343.0,25-50K,0,0,0,0,1,0,2
38,Jhanjharpur,NITISH MISHRA,Bharatiya Janata Party,107958,54849,won,193156,MADHUBANI,GENERAL,2008343.0,>50K,0,0,0,0,0,1,2
39,Phulparas,SHEELA KUMARI,Janata Dal (United),93677,14099,won,205223,MADHUBANI,GENERAL,2008343.0,10-25K,0,0,0,1,0,0,2
40,Laukaha,SATISH KUMAR SAH,Janata Dal (United),111761,25511,won,230783,MADHUBANI,GENERAL,2008343.0,25-50K,0,0,0,0,1,0,2
41,Nirmali,ANIRUDDHA PRASAD YADAV,Janata Dal (United),118904,37310,won,223169,SUPAUL,GENERAL,1126089.0,25-50K,0,0,0,0,1,0,2
42,Pipra,RAMBILASH KAMAT,Janata Dal (United),107041,37776,won,223019,SUPAUL,GENERAL,1126089.0,25-50K,0,0,0,0,1,0,2
43,Supaul,BIJENDRA PRASAD YADAV,Janata Dal (United),109085,30803,won,209147,SUPAUL,GENERAL,1126089.0,25-50K,0,0,0,0,1,0,2
44,Triveniganj,SONAM RANI,Janata Dal (United),105262,5683,won,221695,SUPAUL,SC,1126089.0,2-10K,0,0,1,0,0,0,2
45,Chhatapur,NIRAJ KUMAR SINGH,Bharatiya Janata Party,122491,16178,won,249059,SUPAUL,GENERAL,1126089.0,10-25K,0,0,0,1,0,0,2
46,Narpatganj,DEVANTI YADAV,Bharatiya Janata Party,120557,25353,won,241647,ARARIA,GENERAL,1403133.0,25-50K,0,0,0,0,1,0,2
47,Raniganj,AVINASH MANGLAM,Rashtriya Janata Dal,111590,8530,won,230348,ARARIA,SC,1403133.0,2-10K,0,0,1,0,0,0,2
48,Forbesganj,MANOJ BISHWAS,Indian National Congress,120114,221,won,251439,ARARIA,GENERAL,1403133.0,<500,1,0,0,0,0,0,2
49,Araria,ABIDUR RAHMAN,Indian National Congress,91529,12741,won,242085,ARARIA,GENERAL,1403133.0,10-25K,0,0,0,1,0,0,3
50,Jokihat,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,83737,28803,won,217385,ARARIA,GENERAL,1403133.0,25-50K,0,0,0,0,1,0,4
51,Sikti,VIJAY KUMAR MANDAL,Bharatiya Janata Party,111342,19322,won,220229,ARARIA,GENERAL,1403133.0,10-25K,0,0,0,1,0,0,2
52,Bahadurganj,MD TAUSEEF ALAM,All India Majlis-E-Ittehadul Muslimeen,87315,28726,won,217155,KISHANGANJ,GENERAL,883089.0,25-50K,0,0,0,0,1,0,3
53,Thakurganj,GOPAL KUMAR AGARWAL,Janata Dal (United),85243,8822,won,245567,KISHANGANJ,GENERAL,883089.0,2-10K,0,0,1,0,0,0,3
54,Kishanganj,MD. QAMRUL HODA,Indian National Congress,89669,12794,won,227042,KISHANGANJ,GENERAL,883089.0,10-25K,0,0,0,1,0,0,3
55,Kochadhaman,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,81860,23021,won,193325,KISHANGANJ,GENERAL,883089.0,10-25K,0,0,0,1,0,0,3
56,Amour,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,100836,38928,won,231808,PURNIA,GENERAL,1606072.0,25-50K,0,0,0,0,1,0,3
57,Baisi,GHULAM SARWAR,All India Majlis-E-Ittehadul Muslimeen,92766,27251,won,224244,PURNIA,GENERAL,1606072.0,25-50K,0,0,0,0,1,0,3
58,Kasba,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),86877,12875,won,236009,PURNIA,GENERAL,1606072.0,10-25K,0,0,0,1,0,0,3
59,Banmankhi,KRISHNA KUMAR RISHI,Bharatiya Janata Party,122494,45296,won,213932,PURNIA,SC,1606072.0,25-50K,0,0,0,0,1,0,2
60,Rupauli,KALADHAR PRASAD MANDAL,Janata Dal (United),124826,73572,won,225095,PURNIA,GENERAL,1606072.0,>50K,0,0,0,0,0,1,3
61,Dhamdaha,LESHI SINGH,Janata Dal (United),138750,55159,won,242065,PURNIA,GENERAL,1606072.0,>50K,0,0,0,0,0,1,2
62,Purnia,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,127614,33222,won,232919,PURNIA,GENERAL,1606072.0,25-50K,0,0,0,0,1,0,2
63,Katihar,TARKISHORE PRASAD,Bharatiya Janata Party,100255,22154,won,198448,KATIHAR,GENERAL,1410108.0,10-25K,0,0,0,1,0,0,2
64,Kadwa,DULAL CHANDRA GOSWAMI,Janata Dal (United),99274,18368,won,213155,KATIHAR,GENERAL,1410108.0,10-25K,0,0,0,1,0,0,2
65,Balrampur,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),80459,389,won,277074,KATIHAR,GENERAL,1410108.0,<500,1,0,0,0,0,0,3
66,Pranpur,NISHA SINGH,Bharatiya Janata Party,108565,7752,won,254532,KATIHAR,GENERAL,1410108.0,2-10K,0,0,1,0,0,0,3
67,Manihari,MANOHAR PRASAD SINGH,Indian National Congress,114754,15168,won,238259,,,,10-25K,0,0,0,1,0,0,2
68,Barari,BIJAY SINGH,Janata Dal (United),107842,10984,won,228594,KATIHAR,GENERAL,1410108.0,10-25K,0,0,0,1,0,0,2
69,Korha,KAVITA DEVI,Bharatiya Janata Party,123495,22257,won,238305,KATIHAR,SC,1410108.0,10-25K,0,0,0,1,0,0,2
70,Alamnagar,NARENDRA NARAYAN YADAV,Janata Dal (United),138401,55465,won,256381,MADHEPURA,GENERAL,948891.0,>50K,0,0,0,0,0,1,2
71,Bihariganj,NIRANJAN KUMAR MEHTA,Janata Dal (United),116622,31622,won,223746,MADHEPURA,GENERAL,948891.0,25-50K,0,0,0,0,1,0,2
72,Singheshwar,RAMESH RISHI,Janata Dal (United),106416,2982,won,229174,MADHEPURA,SC,948891.0,2-10K,0,0,1,0,0,0,2
73,Madhepura,CHANDRA SHEKHAR,Rashtriya Janata Dal,108464,7809,won,239590,MADHEPURA,GENERAL,948891.0,2-10K,0,0,1,0,0,0,2
74,Sonbarsha,RATNESH SADA,Janata Dal (United),97833,13454,won,206444,SAHARSA,SC,902898.0,10-25K,0,0,0,1,0,0,2
75,Saharsa,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,115036,2038,won,259763,SAHARSA,GENERAL,902898.0,2-10K,0,0,1,0,0,0,2
